model,candidate,params,split,accuracy,precision,recall,f1,roc_auc,pr_auc,true_negatives,false_positives,false_negatives,true_positives
LightGBM,16,"{""model__learning_rate"": 0.08, ""model__min_child_samples"": 60, ""model__n_estimators"": 350, ""model__num_leaves"": 63}",validation,0.8612110463643273,0.526542800265428,0.5474301483270093,0.5367833587011669,0.7939403818637618,0.555438440892942,15409,1427,1312,1587
LightGBM,7,"{""model__learning_rate"": 0.08, ""model__min_child_samples"": 20, ""model__n_estimators"": 220, ""model__num_leaves"": 63}",validation,0.8529516088168229,0.49954448830853326,0.5674370472576751,0.5313307493540051,0.7931192181605293,0.5535433133068527,15188,1648,1254,1645
LightGBM,11,"{""model__learning_rate"": 0.08, ""model__min_child_samples"": 20, ""model__n_estimators"": 350, ""model__num_leaves"": 31}",validation,0.8458069419812516,0.47946377638334287,0.5798551224560193,0.5249024199843872,0.7964296271782793,0.5534971790057134,15011,1825,1218,1681
Random Forest,5,"{""model__max_depth"": null, ""model__min_samples_leaf"": 5, ""model__n_estimators"": 200}",validation,0.8664302001520142,0.5458987783595114,0.5394963780614005,0.5426786953504511,0.7987244763946835,0.5514246804508004,15535,1301,1335,1564
Random Forest,11,"{""model__max_depth"": null, ""model__min_samples_leaf"": 5, ""model__n_estimators"": 350}",validation,0.8663288573600203,0.5457413249211357,0.5370817523283891,0.5413769123783032,0.7978635032881378,0.5505596328526106,15540,1296,1342,1557
Random Forest,6,"{""model__max_depth"": null, ""model__min_samples_leaf"": 10, ""model__n_estimators"": 200}",validation,0.8534076513807956,0.50091519219036,0.566402207657813,0.5316496681236846,0.7976068422509265,0.5501253005372817,15200,1636,1257,1642
Random Forest,12,"{""model__max_depth"": null, ""model__min_samples_leaf"": 10, ""model__n_estimators"": 350}",validation,0.8531542944008107,0.500151837230489,0.5681269403242497,0.5319767441860465,0.7970695894595355,0.5493913243279792,15190,1646,1252,1647
Random Forest,9,"{""model__max_depth"": 16, ""model__min_samples_leaf"": 5, ""model__n_estimators"": 350}",validation,0.8601976184443881,0.5228758169934641,0.5519144532597448,0.5370028528276557,0.7919249975270226,0.548702295850998,15376,1460,1299,1600
Random Forest,3,"{""model__max_depth"": 16, ""model__min_samples_leaf"": 5, ""model__n_estimators"": 200}",validation,0.8613630605523183,0.5269421487603306,0.5498447740600207,0.5381498987170831,0.7916965903071909,0.5472766229334025,15405,1431,1305,1594
LightGBM,15,"{""model__learning_rate"": 0.08, ""model__min_child_samples"": 20, ""model__n_estimators"": 350, ""model__num_leaves"": 63}",validation,0.860450975424373,0.5236541598694943,0.5536391859261814,0.5382293762575453,0.7883955855694826,0.5468838931992152,15376,1460,1294,1605
Random Forest,10,"{""model__max_depth"": 16, ""model__min_samples_leaf"": 10, ""model__n_estimators"": 350}",validation,0.8510767671649354,0.49401913875598086,0.5698516729906864,0.52923274066955,0.7910350330125059,0.5459869698311302,15144,1692,1247,1652
Random Forest,4,"{""model__max_depth"": 16, ""model__min_samples_leaf"": 10, ""model__n_estimators"": 200}",validation,0.8518368381048897,0.4962178517397882,0.5657123145912384,0.5286911669890393,0.7906082958780734,0.5452060084052406,15171,1665,1259,1640
Random Forest,7,"{""model__max_depth"": 10, ""model__min_samples_leaf"": 5, ""model__n_estimators"": 350}",validation,0.8520901950848746,0.49696233292831105,0.564332528458089,0.5285091261508642,0.7845494399187798,0.5440241775669321,15180,1656,1263,1636
Random Forest,1,"{""model__max_depth"": 10, ""model__min_samples_leaf"": 5, ""model__n_estimators"": 200}",validation,0.8536103369647834,0.5015375153751538,0.5626077957916523,0.5303202731263209,0.7851647543811039,0.5425835512972496,15215,1621,1268,1631
Random Forest,2,"{""model__max_depth"": 10, ""model__min_samples_leaf"": 10, ""model__n_estimators"": 200}",validation,0.8494046110970357,0.4891336707353379,0.5667471541911003,0.5250878875039949,0.7844611339340763,0.539150187811695,15120,1716,1256,1643
Random Forest,8,"{""model__max_depth"": 10, ""model__min_samples_leaf"": 10, ""model__n_estimators"": 350}",validation,0.8481378261971118,0.4855029585798817,0.5660572611245257,0.52269469660774,0.7841269234416207,0.5385423892926157,15097,1739,1258,1641
