train_fraction,train_rows,train_pr_auc,holdout_pr_auc,generalization_gap
0.1,7893,0.9262340812296397,0.5142324193614759,0.4120016618681638
0.25,19734,0.8281894225298615,0.5351205886695031,0.2930688338603584
0.5,39469,0.7292139810853868,0.5499960793077091,0.1792179017776777
0.75,59203,0.6873082805753274,0.5570370232222537,0.13027125735307377
1.0,78938,0.6612547211475902,0.5597068225164961,0.10154789863109415
