model,accuracy,precision,recall,f1,roc_auc,pr_auc
LightGBM,0.8387636179376742,0.4614756329975497,0.5846843739220421,0.5158247108947048,0.7894006961707821,0.5542383123368838
Gradient Boosting,0.8917152267544971,0.7402269861286255,0.4049672300793377,0.5235228539576365,0.7837114755409633,0.5537521454740992
XGBoost,0.8373448188497593,0.458074952817471,0.5860641600551915,0.514225181598063,0.7889406445279671,0.5513132098371316
Random Forest,0.8536103369647834,0.5015752993068683,0.549154880993446,0.524287831384818,0.787105969886143,0.5295892431624583
Decision Tree,0.8435774005573854,0.4730504587155963,0.5691617799241118,0.5166744950681071,0.7709549794372036,0.5225407988450474
Logistic Regression,0.826399797314416,0.43114711262085187,0.5691617799241118,0.49063336306868865,0.7732099680287261,0.5034940447534006
Linear SVM,0.8393210032936408,0.4607163489312536,0.5501897205933081,0.5014934758685742,0.7717633479925365,0.49435491526363573
KNN,0.8741322523435521,0.6793431287813311,0.2711279751638496,0.3875739644970414,0.7215588038772024,0.42267264930217074
Naive Bayes,0.28462123131492273,0.15600662292267126,0.8775439806829941,0.26491721337082164,0.5498062759288703,0.16238556312529037
