model,target,policy,selection_metric,validation_threshold,validation_flagged_orders,validation_flagged_order_rate,validation_precision,validation_recall,validation_true_positives,validation_false_positives,validation_false_negatives,validation_true_negatives,test_threshold,test_flagged_orders,test_flagged_order_rate,test_precision,test_recall,test_true_positives,test_false_positives,test_false_negatives,test_true_negatives,validation_pr_auc,validation_roc_auc,test_pr_auc,test_roc_auc
unweighted_precision_lightgbm,bad_review,max_precision_with_validation_recall_at_least_0.25,precision subject to minimum validation recall,0.74402,881.0,0.04464149987332151,0.8263337116912599,0.25112107623318386,728.0,153.0,2171.0,16683.0,0.74402,929.0,0.04707372688117557,0.8105489773950484,0.25974473956536737,753.0,176.0,2146.0,16660.0,,,,
unweighted_precision_lightgbm,bad_review,max_precision_with_validation_recall_at_least_0.35,precision subject to minimum validation recall,0.655,1293.0,0.06551811502406892,0.7849961330239753,0.35012073128665055,1015.0,278.0,1884.0,16558.0,0.655,1280.0,0.06485938687610844,0.7875,0.3477061055536392,1008.0,272.0,1891.0,16564.0,,,,
unweighted_precision_lightgbm,bad_review,max_precision_with_validation_recall_at_least_0.45,precision subject to minimum validation recall,0.36094,1858.0,0.09414745376235115,0.7023681377825619,0.4501552259399793,1305.0,553.0,1594.0,16283.0,0.36094,1872.0,0.0948568533063086,0.6923076923076923,0.44705070714039324,1296.0,576.0,1603.0,16260.0,,,,
unweighted_precision_lightgbm,bad_review,max_precision_with_validation_recall_at_least_0.55,precision subject to minimum validation recall,0.205,2893.0,0.14659234861920445,0.5537504320774282,0.5526043463263194,1602.0,1291.0,1297.0,15545.0,0.205,2883.0,0.14608563465923485,0.5452653485952134,0.5422559503276992,1572.0,1311.0,1327.0,15525.0,,,,
unweighted_precision_lightgbm,bad_review,review_top_5pct_highest_risk_orders,fixed support capacity,0.7237761301485317,987.0,0.05001266784899924,0.8156028368794326,0.27768195929630907,805.0,182.0,2094.0,16654.0,0.7237761301485317,1022.0,0.05178616670889283,0.8072407045009785,0.2845808899620559,825.0,197.0,2074.0,16639.0,,,,
unweighted_precision_lightgbm,bad_review,review_top_10pct_highest_risk_orders,fixed support capacity,0.3241009028348394,1974.0,0.10002533569799849,0.6843971631205674,0.46602276647119695,1351.0,623.0,1548.0,16213.0,0.3241009028348394,2008.0,0.10174816316189511,0.6698207171314741,0.46395308727147294,1345.0,663.0,1554.0,16173.0,,,,
unweighted_precision_lightgbm,bad_review,review_top_15pct_highest_risk_orders,fixed support capacity,0.198943906274234,2961.0,0.15003800354699773,0.5444106720702465,0.5560538116591929,1612.0,1349.0,1287.0,15487.0,0.198943906274234,2973.0,0.15064606029896124,0.5348133198789102,0.5484649879268714,1590.0,1383.0,1309.0,15453.0,,,,
unweighted_precision_lightgbm,bad_review,ranking_quality_no_fixed_threshold,ranking metrics,,,,,,,,,,,,,,,,,,,0.5679216781502264,0.8031305352588383,0.5611291170487896,0.7935825889610061
critical_one_star_lightgbm,critical_one_star_review,max_precision_with_validation_recall_at_least_0.25,precision subject to minimum validation recall,0.93114,784.0,0.03972637446161642,0.7448979591836735,0.2565905096660808,584.0,200.0,1692.0,17259.0,0.93114,840.0,0.042563972637446164,0.7464285714285714,0.27903871829105475,627.0,213.0,1620.0,17275.0,,,,
critical_one_star_lightgbm,critical_one_star_review,max_precision_with_validation_recall_at_least_0.35,precision subject to minimum validation recall,0.915,1106.0,0.056042563972637446,0.7224231464737794,0.3510544815465729,799.0,307.0,1477.0,17152.0,0.915,1132.0,0.057360020268558395,0.7181978798586572,0.36181575433911883,813.0,319.0,1434.0,17169.0,,,,
critical_one_star_lightgbm,critical_one_star_review,max_precision_with_validation_recall_at_least_0.45,precision subject to minimum validation recall,0.82,1538.0,0.07793260704332404,0.6710013003901171,0.45342706502636204,1032.0,506.0,1244.0,16953.0,0.82,1560.0,0.07904737775525715,0.6621794871794872,0.45972407654650643,1033.0,527.0,1214.0,16961.0,,,,
critical_one_star_lightgbm,critical_one_star_review,max_precision_with_validation_recall_at_least_0.55,precision subject to minimum validation recall,0.65,2195.0,0.11122371421332658,0.5708428246013667,0.5505272407732865,1253.0,942.0,1023.0,16517.0,0.65,2204.0,0.11167975677729922,0.5530852994555354,0.5425011125945706,1219.0,985.0,1028.0,16503.0,,,,
critical_one_star_lightgbm,critical_one_star_review,review_top_5pct_highest_risk_orders,fixed support capacity,0.9222527927039975,987.0,0.05001266784899924,0.7335359675785208,0.3181019332161687,724.0,263.0,1552.0,17196.0,0.9222527927039975,1016.0,0.05148213833291107,0.7244094488188977,0.32754784156653316,736.0,280.0,1511.0,17208.0,,,,
critical_one_star_lightgbm,critical_one_star_review,review_top_10pct_highest_risk_orders,fixed support capacity,0.6930309317233919,1974.0,0.10002533569799849,0.5997973657548126,0.5202108963093146,1184.0,790.0,1092.0,16669.0,0.6930309317233919,1969.0,0.09977197871801369,0.5860843067546978,0.5135736537605696,1154.0,815.0,1093.0,16673.0,,,,
critical_one_star_lightgbm,critical_one_star_review,review_top_15pct_highest_risk_orders,fixed support capacity,0.5501941893722172,2961.0,0.15003800354699773,0.4758527524484971,0.6190685413005272,1409.0,1552.0,867.0,15907.0,0.5501941893722172,2962.0,0.1500886749429947,0.4571235651586766,0.6025812194036493,1354.0,1608.0,893.0,15880.0,,,,
critical_one_star_lightgbm,critical_one_star_review,ranking_quality_no_fixed_threshold,ranking metrics,,,,,,,,,,,,,,,,,,,0.5296149849458262,0.8196302061842905,0.5211553929563814,0.8092344891287396
