threshold,flagged_order_rate,accuracy,precision,recall,f1,roc_auc,pr_auc,true_negatives,false_positives,false_negatives,true_positives
0.1,0.9926526475804408,0.15373701545477578,0.14772843287391527,0.9982752673335633,0.25737026990973366,0.7875377677115786,0.5508484661675036,140,16696,5,2894
0.15,0.9495312895870281,0.19310869014441348,0.15246277816318907,0.9855122456019317,0.26407246510768095,0.7875377677115786,0.5508484661675036,954,15882,42,2857
0.2,0.8298961236382062,0.3013934633899164,0.16760288191476372,0.9468782338737496,0.28479535197385486,0.7875377677115786,0.5508484661675036,3203,13633,154,2745
0.25,0.6457562705852546,0.4630352166202179,0.19797551789077214,0.87030010348396,0.3225723965991178,0.7875377677115786,0.5508484661675036,6615,10221,376,2523
0.3,0.4859386876108437,0.5978211299721308,0.2373305526590198,0.7850983097619869,0.36448074305388745,0.7875377677115786,0.5508484661675036,9522,7314,623,2276
0.35,0.3633139092982012,0.6986572080060806,0.2874476987447699,0.7109348051052087,0.40937531035852615,0.7875377677115786,0.5508484661675036,11727,5109,838,2061
0.4,0.2783886496072967,0.7677729921459336,0.34674190025482343,0.6571231459123836,0.45394972000476586,0.7875377677115786,0.5508484661675036,13247,3589,994,1905
0.45,0.2218900430706866,0.8130225487712186,0.4096825759305778,0.6188340807174888,0.49299258037922505,0.7875377677115786,0.5508484661675036,14251,2585,1105,1794
0.5,0.183633139092982,0.8409424879655435,0.46688741721854304,0.58364953432218,0.5187797025908324,0.7875377677115786,0.5508484661675036,14904,1932,1207,1692
0.6,0.13265771472004054,0.8719533823156828,0.5710466004583652,0.515695067264574,0.5419612108029727,0.7875377677115786,0.5508484661675036,15713,1123,1404,1495
0.7,0.10184950595388903,0.8878642006587282,0.6706467661691542,0.46498792687133494,0.5491953554695458,0.7875377677115786,0.5508484661675036,16174,662,1551,1348
